name,body_group,force,muscle_group,equipment,description,steps,grip,video_link
Biceps Stretch Variation Two,Upper Body,Pull,Arms,Stretches,"Stand facing the wall, an arms width away., Place your hand on the wall with your fingers pointing down., Lean slightly into the wall to feel the stretch in your bicep.","Stand facing the wall, an arms width away., Place your hand on the wall with your fingers pointing down., Lean slightly into the wall to feel the stretch in your bicep.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-2-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-2-side.mp4#t=0.1"
Biceps Stretch Variation One,Upper Body,Pull,Arms,Stretches,"Stand one foot in front of the other with the wall to your right, an arms width away., Place your hand on the wall, fingers pointing away from you., Gently lean forward, keeping your hand stationary., Repeat with the other arm.","Stand one foot in front of the other with the wall to your right, an arms width away., Place your hand on the wall, fingers pointing away from you., Gently lean forward, keeping your hand stationary., Repeat with the other arm.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-1-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-1-side.mp4#t=0.1"
Cable Twisting Curl,Upper Body,Pull,Arms,Cable,"Use a handle attachment. The cable should be set all the way to the bottom of the machine., Face away from the cable machine. Stagger your stance so you have a better base of support., Start with a neutral grip. Flex at the elbow. While flexing twist your palm. When you hit the top of the movement your palm should be facing upward.","Use a handle attachment. The cable should be set all the way to the bottom of the machine., Face away from the cable machine. Stagger your stance so you have a better base of support., Start with a neutral grip. Flex at the elbow. While flexing twist your palm. When you hit the top of the movement your palm should be facing upward.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-twisting-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-twisting-curl-side.mp4#t=0.1"
Cable Bayesian Curl,Upper Body,Pull,Arms,Cable,"Use a handle attachment. The cable should be set all the way to the bottom of the machine., Face away from the cable machine., Stagger your stance so you have a better base of support. Face your palm forward. Flex at the elbow and extend.","Use a handle attachment. The cable should be set all the way to the bottom of the machine., Face away from the cable machine., Stagger your stance so you have a better base of support. Face your palm forward. Flex at the elbow and extend.",Underhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-bayesian-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-bayesian-curl-side.mp4#t=0.1"
Cable Reverse Curl,Upper Body,Unknown,Arms,Cable,"Use a handle attachment. The cable should be set all the way to the bottom of the machine., Face away from the cable machine. Stagger your stance so you have a better base of support., Face your palm downwards. Flex at the elbow and extend.","Use a handle attachment. The cable should be set all the way to the bottom of the machine., Face away from the cable machine. Stagger your stance so you have a better base of support., Face your palm downwards. Flex at the elbow and extend.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-reverse-curl-side.mp4#t=0.1"
Cable Hammer Curl,Upper Body,Pull,Arms,Cable,"Use a handle attachment. The cable should be set all the way to the bottom of the machine., Face away from the cable machine. Stagger your stance so you have a better base of support., Use a neutral grip thumb facing up pinky-facing down). Flex at the elbow and extend.","Use a handle attachment. The cable should be set all the way to the bottom of the machine., Face away from the cable machine. Stagger your stance so you have a better base of support., Use a neutral grip thumb facing up pinky-facing down). Flex at the elbow and extend.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-hammer-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-hammer-curl-side.mp4#t=0.1"
Band Bayesian Curl,Upper Body,Pull,Arms,Band,"Attach band to a low anchor point. Point your palms straight forward., Flex your elbow until you feel your biceps contract. Then fully extend elbows.","Attach band to a low anchor point. Point your palms straight forward., Flex your elbow until you feel your biceps contract. Then fully extend elbows.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-curl-side.mp4#t=0.1"
Band Bayesian Hammer Curl,Upper Body,Unknown,Arms,Band,"Attach band to a low anchor point. Use a neutral grip., Flex your elbow until you feel your biceps contract. Then fully extend elbows.","Attach band to a low anchor point. Use a neutral grip., Flex your elbow until you feel your biceps contract. Then fully extend elbows.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-hammer-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-hammer-curl-side.mp4#t=0.1"
Band Bayesian Reverse Curl,Upper Body,Unknown,Arms,Band,"Attach band to a low anchor point. . Point your palms toward your thighs., Flex your elbow until you feel your biceps contract. Then fully extend elbows.","Attach band to a low anchor point. . Point your palms toward your thighs., Flex your elbow until you feel your biceps contract. Then fully extend elbows.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-reverse-curl-side.mp4#t=0.1"
Dumbbell Reverse Curl,Upper Body,Pull,Arms,Dumbbell,"Grab the dumbbells with a pronated (overhand) grip. You can do this exercise thumbless if its more comfortable on your wrists., Flex at the elbows until your biceps touch your forearms. Try not to let your elbows flair outward.","Grab the dumbbells with a pronated (overhand) grip. You can do this exercise thumbless if its more comfortable on your wrists., Flex at the elbows until your biceps touch your forearms. Try not to let your elbows flair outward.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-reverse-curl-side.mp4#t=0.1"
Barbell Reverse Curl,Upper Body,Pull,Arms,Barbell,"Barbell Reverse Curl: A Comprehensive GuideSetupSelect a barbell with the appropriate weight for your strength levelStand with your feet shoulderwidth apart and grip the barbell with a shoulderwidth overhand gripKeep your arms straight and the barbell hanging at arm's length in front of your thighsHow to PerformBreathe in and tighten your coreCurl the barbell upwards towards your chest, keeping your upper arms stationary and your elbows tucked in close to your torsoHold the contraction at the top for a count of oneLower the barbell back down to the starting position with control, inhaling as you do soRepeat the movement for the desired number of repsTechniqueKeep your movements smooth and controlled throughout the exerciseAvoid using momentum to swing the barbell up and downKeep your head and neck in a neutral position, looking straight ahead and avoiding any unnecessary neck strainEngage your shoulder blades and keep your shoulders down and away from your earsThings to AvoidUsing a weight that is too heavy and sacrificing formArching your back or swaying excessivelyLocking out your elbows at the top of the movementAllowing your elbows to flare out to the sides","Take a double overhand grip thats about shoulder width. Flex your elbows while keeping your elbows tucked in. Try not to let them flare out., Curl until your forearm presses into your bicep. Then fully extend your elbows at the bottom of each rep.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-reverse-curl-side.mp4#t=0.1"
Dumbbell Incline Hammer Curl,Upper Body,Pull,Arms,Dumbbell,"Hold the dumbbells with a neutral grip (thumbs facing the ceiling). Seated on an incline bench., Slowly lift the dumbbell up to chest height, Return to starting position and repeat.","Hold the dumbbells with a neutral grip (thumbs facing the ceiling). Seated on an incline bench., Slowly lift the dumbbell up to chest height, Return to starting position and repeat.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-hammer-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-hammer-curl-side.mp4#t=0.1"
Dumbbell Incline Reverse Curl,Upper Body,Pull,Arms,Dumbbell,"Lay on an incline bench., Grab the dumbbells with a pronated (overhand) grip. You can do this exercise thumbless if its more comfortable on your wrists., Flex at the elbows until your biceps touch your forearms. Try not to let your elbows flair outward.","Lay on an incline bench., Grab the dumbbells with a pronated (overhand) grip. You can do this exercise thumbless if its more comfortable on your wrists., Flex at the elbows until your biceps touch your forearms. Try not to let your elbows flair outward.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-reverse-curl-side.mp4#t=0.1"
Dumbbell Incline Zottman Curl,Upper Body,Pull,Arms,Dumbbell,"Lay on an incline bench with your palms facing forward., Flex at the elbows until your forearms touch your biceps., When you hit the top of the movement, rotate your palms and then lower the dumbbells slowly.","Lay on an incline bench with your palms facing forward., Flex at the elbows until your forearms touch your biceps., When you hit the top of the movement, rotate your palms and then lower the dumbbells slowly.",Rotating,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-zottman-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-zottman-curl-side.mp4#t=0.1"
Dumbbell Single Arm Preacher Curl,Upper Body,Pull,Arms,Dumbbell,"Start with a with a dumbbell in one hand and your elbow resting on the bench., From this starting position, curl the dumbbell up towards your shoulder, keeping your upper arm stationary on the bench.","Start with a with a dumbbell in one hand and your elbow resting on the bench., From this starting position, curl the dumbbell up towards your shoulder, keeping your upper arm stationary on the bench.",Underhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-single-arm-preacher-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-single-arm-preacher-curl-side.mp4#t=0.1"
Dumbbell Single Arm Spider Curl,Upper Body,Pull,Arms,Dumbbell,"Lay on an incline or preacher curl bench., Let your arms hang freely off the edge of the bench., Fully flex your elbow and fully extend your elbow on each rep.","Lay on an incline or preacher curl bench., Let your arms hang freely off the edge of the bench., Fully flex your elbow and fully extend your elbow on each rep.",Underhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-single-arm-spider-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-single-arm-spider-curl-side.mp4#t=0.1"
Dumbbell Spider Curl,Upper Body,Pull,Arms,Dumbbell,"Start by placing your forearms on a flat bench and holding a dumbbell in each hand., From this starting position, curl the dumbbells up towards your shoulders, keeping your elbows close to your body and your core engaged., Slowly lower the dumbbells back down to the starting position, and repeat for the desired number of repetitions.","Start by placing your forearms on a flat bench and holding a dumbbell in each hand., From this starting position, curl the dumbbells up towards your shoulders, keeping your elbows close to your body and your core engaged., Slowly lower the dumbbells back down to the starting position, and repeat for the desired number of repetitions.",Underhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-spider-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-spider-curl-side.mp4#t=0.1"
Dumbbell Twisting Curl,Upper Body,Pull,Arms,Dumbbell,"Start by standing with your feet shoulder-width apart and holding a dumbbell in each hand., Bring the dumbbells to your sides, with your palms facing inward and your elbows bent., From this starting position, curl the dumbbells up towards your shoulders while rotating your wrists so that your palms face your shoulders at the top of the movement.","Start by standing with your feet shoulder-width apart and holding a dumbbell in each hand., Bring the dumbbells to your sides, with your palms facing inward and your elbows bent., From this starting position, curl the dumbbells up towards your shoulders while rotating your wrists so that your palms face your shoulders at the top of the movement.",Rotating,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-twisting-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-twisting-curl-side.mp4#t=0.1"
Plate Bicep Curl,Upper Body,Pull,Arms,Plate,,,Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-plate-bicep-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-plate-bicep-curl-side.mp4#t=0.1"
Plate Curl To Overhead Press,Upper Body,Push,Arms,Plate,"Stand with feet shoulder-width apart and the plate in front of the torso, palms facing forward., Curl the plate up to the front of the shoulder while keeping the elbows close to the body., Rotate the palms to face forward and press the plate overhead, locking out the arms., Lower the plate back to the starting position, keeping control of it, and repeat for desired reps.","Stand with feet shoulder-width apart and the plate in front of the torso, palms facing forward., Curl the plate up to the front of the shoulder while keeping the elbows close to the body., Rotate the palms to face forward and press the plate overhead, locking out the arms., Lower the plate back to the starting position, keeping control of it, and repeat for desired reps.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curl-to-overhead-press-front_kQDPle2.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curl-to-overhead-press-side.mp4#t=0.1"
Plate Curl To Overhead Press To Tricep Extension,Upper Body,Unknown,Arms,Plate,"Stand with feet shoulder-width apart and the plate in front of the torso, palms facing forward., Curl the plate up to the front of the shoulder while keeping the elbows close to the body., Rotate the palms to face forward and press the plate overhead, locking out the arms., Lower the plate back behind the head to the starting position of a tricep extension., Push the plate back up overhead, then lower it back to the starting position and repeat for desired reps.","Stand with feet shoulder-width apart and the plate in front of the torso, palms facing forward., Curl the plate up to the front of the shoulder while keeping the elbows close to the body., Rotate the palms to face forward and press the plate overhead, locking out the arms., Lower the plate back behind the head to the starting position of a tricep extension., Push the plate back up overhead, then lower it back to the starting position and repeat for desired reps.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curl-to-overhead-press-to-tricep-extension-front_LMFCnKf.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curl-to-overhead-press-to-tricep-extension-side_ax0yvwM.mp4#t=0.1"
Plate Squat Hold Curl,Upper Body,Unknown,Arms,Plate,"Lower into a squat position, keeping the plate at chest height., Slowly curl the plate towards your shoulders, keeping your elbows close to your body., Hold for a moment at the top of the curl before lowering the plate back to chest height., Repeat the curls as you hold the squat position.","Lower into a squat position, keeping the plate at chest height., Slowly curl the plate towards your shoulders, keeping your elbows close to your body., Hold for a moment at the top of the curl before lowering the plate back to chest height., Repeat the curls as you hold the squat position.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-plate-squat-hold-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-plate-squat-hold-curl-side.mp4#t=0.1"
Band High Curl,Upper Body,Pull,Arms,Band,"Anchor a band to a high point., Start with your feet staggered and your elbows high., Flex your elbows while keeping your arms high. Curl the band to your forehead.","Anchor a band to a high point., Start with your feet staggered and your elbows high., Flex your elbows while keeping your arms high. Curl the band to your forehead.",Underhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-curl-side.mp4#t=0.1"
Band High Hammer Curl,Upper Body,Pull,Arms,Band,"Start with the band anchored to something high with your feet staggered and a neutral grip., Keep your elbows high. Curl until your fists are at your forehead.","Start with the band anchored to something high with your feet staggered and a neutral grip., Keep your elbows high. Curl until your fists are at your forehead.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-hammer-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-hammer-curl-side.mp4#t=0.1"
Band High Reverse Curl,Upper Body,Pull,Arms,Band,"Start with a band attached to a high point, your feet staggered, and an overhand grip., Flex your elbows pulling your forearms to your biceps. Your fists should land by your forehead.","Start with a band attached to a high point, your feet staggered, and an overhand grip., Flex your elbows pulling your forearms to your biceps. Your fists should land by your forehead.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-reverse-curl-side.mp4#t=0.1"
Band Curl,Upper Body,Pull,Arms,Band,"Stand with your feet shoulder-width apart, with the band under both feet., Grasp the handles of the band with both hands, keeping your arms straight and extended in front of you., Keep your back straight, abs engaged, and shoulders relaxed as you curl your hands towards your shoulders, bending at the elbows.","Stand with your feet shoulder-width apart, with the band under both feet., Grasp the handles of the band with both hands, keeping your arms straight and extended in front of you., Keep your back straight, abs engaged, and shoulders relaxed as you curl your hands towards your shoulders, bending at the elbows.",Underhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-curl-front_1YwVVEx.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-curl-side_qegXZDv.mp4#t=0.1"
Band Reverse Curl,Upper Body,Pull,Arms,Band,"Start by standing on the center of the band with both feet, shoulder-width apart., Hold the band with both hands, palms facing down, arms extended straight in front of you., Slowly curl your hands towards your shoulders, pulling the band tight, then lower your arms back to the starting position, keeping tension on the band throughout the exercise.","Start by standing on the center of the band with both feet, shoulder-width apart., Hold the band with both hands, palms facing down, arms extended straight in front of you., Slowly curl your hands towards your shoulders, pulling the band tight, then lower your arms back to the starting position, keeping tension on the band throughout the exercise.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-reverse-curl-front_iQSuy66.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-reverse-curl-side_Cez320W.mp4#t=0.1"
Dumbbell Concentration Curl,Upper Body,Pull,Arms,Dumbbell,"Sit on a flat bench with your feet flat on the floor and your back straight., Lean forward and place your elbow on the inside of your leg., Curl the dumbbell while keeping your elbow against your leg. Make sure to fully extend your elbow on each rep.","Sit on a flat bench with your feet flat on the floor and your back straight., Lean forward and place your elbow on the inside of your leg., Curl the dumbbell while keeping your elbow against your leg. Make sure to fully extend your elbow on each rep.",Underhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-concentration-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-concentration-curl-side.mp4#t=0.1"
TRX Curl,Upper Body,Pull,Arms,TRX,"Hold the TRX straps with an underhand grip and lean back and away from the anchor point., Keep your elbows high as you flex your elbows. Pull your fists toward your forehead.","Hold the TRX straps with an underhand grip and lean back and away from the anchor point., Keep your elbows high as you flex your elbows. Pull your fists toward your forehead.",Underhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-trx-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-trx-curl-side.mp4#t=0.1"
TRX Hammer Curl,Upper Body,Pull,Arms,TRX,"Grab the TRX straps and lean away from the anchor point., Maintain a neutral grip. Flex your elbows and pull your fists to either sides of your temples.","Grab the TRX straps and lean away from the anchor point., Maintain a neutral grip. Flex your elbows and pull your fists to either sides of your temples.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-trx-hammer-curl-side.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-trx-hammer-curl-front.mp4#t=0.1"
TRX Reverse Curl,Upper Body,Pull,Arms,TRX,"Stand facing the TRX straps and grasp the handles with both hands, palms facing away from your body., Walk back until the straps are taut, keeping your arms straight., Slowly curl your hands towards your shoulders, keeping your elbows close to your body.","Stand facing the TRX straps and grasp the handles with both hands, palms facing away from your body., Walk back until the straps are taut, keeping your arms straight., Slowly curl your hands towards your shoulders, keeping your elbows close to your body.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-trx-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-trx-reverse-curl-side.mp4#t=0.1"
Barbell Landmine Row,Upper Body,Pull,Back,Barbell,"Position a barbell in a landmine or corner of a room and stand facing it with your feet shoulder-width apart., Grasp the end of the barbell with a neutral grip, keeping your arms straight and your shoulders relaxed., Bend at the hips and knees to lower your torso until it is almost parallel to the ground., Pull the barbell towards your chest, squeezing your shoulder blades together as you row the weight up.","Position a barbell in a landmine or corner of a room and stand facing it with your feet shoulder-width apart., Grasp the end of the barbell with a neutral grip, keeping your arms straight and your shoulders relaxed., Bend at the hips and knees to lower your torso until it is almost parallel to the ground., Pull the barbell towards your chest, squeezing your shoulder blades together as you row the weight up.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-landmine-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-landmine-row-side.mp4#t=0.1"
