name,body_group,force,muscle_group,equipment,description
Kettlebell crab reach,Core,Hold,Abs,Kettlebell,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core."
Taylor Single-Arm Kettlebell Swing,Core,Hold,Abs,Kettlebell,not available
Holman Kettlebell Up to Elbow Down,Core,Hold,Abs,Kettlebell,not available
FYR2 Double-Kettlebell Ski,Core,Hold,Abs,Kettlebell,not available
FYR2 Kettlebell Hike,Core,Hold,Abs,Kettlebell,not available
FYR2 Kettlebell Cross-Body Catch,Core,Hold,Abs,Kettlebell,not available
FYR2 Kettlebell Duck Walk,Core,Hold,Abs,Kettlebell,not available
FYR2 Kettlebell Get-Up Reach,Core,Hold,Abs,Kettlebell,not available
FYR2 Kettlebell Juggle,Core,Hold,Abs,Kettlebell,not available
FYR2 Squat-Clean-Alternating-Press Complex,Core,Hold,Abs,Kettlebell,not available
Dumbbell V-Sit Cross Jab,Core,Hold,Abs,Dumbbell,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge."
Dumbbell spell caster,Core,Hold,Abs,Dumbbell,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control."
Dumbbell side bend,Core,Hold,Abs,Dumbbell,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides."
Dumbbell crunch,Core,Hold,Abs,Dumbbell,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training."
Dumbbell Fix Dumbbell Sprawl,Core,Hold,Abs,Dumbbell,not available
Dumbbell Fix Alternating Renegade Row,Core,Hold,Abs,Dumbbell,not available
Dumbbell Fix Dumbbell Mountain Climber,Core,Hold,Abs,Dumbbell,not available
Dumbbell Fix Dumbbell Russian Twist,Core,Hold,Abs,Dumbbell,not available
Dumbbell Fix Dumbbell Pull-Over,Core,Hold,Abs,Dumbbell,not available
Dumbbell Fix Dumbbell Sit-Up,Core,Hold,Abs,Dumbbell,not available
Dumbbell Fix Dumbbell Front Squat,Core,Hold,Abs,Dumbbell,not available
Dumbbell Fix Full Man Maker,Core,Hold,Abs,Dumbbell,not available
Dumbbell T-hold,Core,Hold,Abs,Dumbbell,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation."
Dumbbell hollow-body floor press,Core,Hold,Abs,Dumbbell,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.
Dumbbell crusher,Core,Hold,Abs,Dumbbell,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use."
Dumbbell Crunch - Gethin Variation,Core,Hold,Abs,Dumbbell,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training."
Single-arm dumbbell crunch,Core,Hold,Abs,Dumbbell,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles."
HM Alternating Dumbbell Plank Row,Core,Hold,Abs,Dumbbell,not available
Dumbbell straight-legged hip raise,Core,Hold,Abs,Dumbbell,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.
Seated leg tuck with dumbbell,Core,Hold,Abs,Dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.
Dumbbell V-sit cross jab-,Core,Hold,Abs,Dumbbell,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge."
30 Hanging Leg Raise With Dumbbell,Core,Hold,Abs,Dumbbell,not available
Dumbbell Get-Up Sit-Up,Core,Hold,Abs,Dumbbell,not available
Holman Right Side Plank with Left Triceps Press,Core,Hold,Abs,Dumbbell,not available
Holman Left Side Plank with Right Triceps Press,Core,Hold,Abs,Dumbbell,not available
Holman Boat with Feet Push-Out and Overhead Press,Core,Hold,Abs,Dumbbell,not available
Holman Hovering Plank Row,Core,Hold,Abs,Dumbbell,not available
Holman Weighted Seated Killer Abs to Russian Twist,Core,Hold,Abs,Dumbbell,not available
Holman Straight Plank Dumbbell Reach-Under,Core,Hold,Abs,Dumbbell,not available
Holman Straight-Arm Side Plank Overhead Press to Chest Press,Core,Hold,Abs,Dumbbell,not available
Holman Weighted Burpee to Pike,Core,Hold,Abs,Dumbbell,not available
Holman Straight-Legged Boat Chest Press,Core,Hold,Abs,Dumbbell,not available
Holman Weighted Burpee to Side Delt Raise,Core,Hold,Abs,Dumbbell,not available
Holman Heavy Double Pike,Core,Hold,Abs,Dumbbell,not available
Holman Heavy Double Split Pike,Core,Hold,Abs,Dumbbell,not available
MetaBurn Alternating Dumbbell Sit-Through,Core,Hold,Abs,Dumbbell,not available
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,Core,Hold,Abs,Dumbbell,not available
MetaBurn Alternating Plank Row With Push-Up,Core,Hold,Abs,Dumbbell,not available
MetaBurn Dumbbell Russian Twist,Core,Hold,Abs,Dumbbell,not available
MetaBurn Dumbbell Toe-Touch,Core,Hold,Abs,Dumbbell,not available
MetaBurn Plank To Alternating Row,Core,Hold,Abs,Dumbbell,not available
Standing dumbbell knee crunch-,Core,Hold,Abs,Dumbbell,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout."
MetaBurn Plank With Dumbbell Rotation,Core,Hold,Abs,Dumbbell,not available
FYR2 Dumbbell Crab Reach,Core,Hold,Abs,Dumbbell,not available
FYR2 Dumbbell Man-Maker,Core,Hold,Abs,Dumbbell,not available
FYR2 Dumbbell Sit-Up Reach,Core,Hold,Abs,Dumbbell,not available
FYR2 Loaded Beast Sprawl,Core,Hold,Abs,Dumbbell,not available
FYR2 Loaded to Unloaded Beast,Core,Hold,Abs,Dumbbell,not available
Lying Leg Pullover,Core,Hold,Abs,Dumbbell,not available
Landmine twist,Core,Hold,Abs,Other,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges."
Suspended ab fall-out,Core,Hold,Abs,Other,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition."
Decline reverse crunch,Core,Hold,Abs,Other,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout."
Plate Twist,Core,Hold,Abs,Other,not available
Weighted Crunches,Core,Hold,Abs,Other,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training."
Ab Roller,Core,Hold,Abs,Other,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks."
Otis-Up,Core,Hold,Abs,Other,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight."
Captain's chair knee raise,Core,Hold,Abs,Other,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training."
Sledgehammer swing,Core,Hold,Abs,Other,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.
Pallof press,Core,Hold,Abs,Other,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body."
Weighted Sit-Ups - With Bands,Core,Hold,Abs,Other,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs."
Suitcase crunch,Core,Hold,Abs,Other,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout."
FYR Rope Jumping,Core,Hold,Abs,Other,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance."
Barbell press sit-up,Core,Hold,Abs,Other,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate."
Single-arm bent-over rear delt fly,Core,Hold,Abs,Other,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout."
Captain's chair leg raise,Core,Hold,Abs,Other,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training."
Shoulder-Elevated One-Leg Hip Thrusts,Core,Hold,Abs,Other,not available
Ab Twist - Gethin Variation,Core,Hold,Abs,Other,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout."
Weighted Crunch - Gethin Variation,Core,Hold,Abs,Other,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs."
Ab Wheel Roll-Out - Gethin Variation,Core,Hold,Abs,Other,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks."
Bench crunch,Core,Hold,Abs,Other,"The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more."
Decline plate sit-up twist,Core,Hold,Abs,Other,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
Reverse ab roll-out,Core,Hold,Abs,Other,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion."
30 Seated Twist With PVC Pipe,Core,Hold,Abs,Other,The seated bar twist is a core exercise aiming to strengthen the obliques.
Suspended crunch-,Core,Hold,Abs,Other,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles."
Suspended oblique crunch,Core,Hold,Abs,Other,"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles."
Weighted sit-up,Core,Hold,Abs,Other,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs."
30 Decline Press Sit-Up,Core,Hold,Abs,Other,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.
Holman Towel Reverse Plank Alternating Heel Pull-in,Core,Hold,Abs,Other,not available
Holman Boat with Weighted Cross Punch,Core,Hold,Abs,Other,not available
Holman Weighted Hook Punch,Core,Hold,Abs,Other,not available
Holman Weighted Traveling Punch,Core,Hold,Abs,Other,not available
Holman Weighted Uppercut Punch,Core,Hold,Abs,Other,not available
Holman Slow Weighted Double Pike,Core,Hold,Abs,Other,not available
Holman Plate Straight Plank Reach,Core,Hold,Abs,Other,not available
Holman Plate Elbow Plank Jack to Straight Plank Jack,Core,Hold,Abs,Other,not available
Holman Plate Hill Climber,Core,Hold,Abs,Other,not available
Holman Plate Reverse Plank Hill Climber,Core,Hold,Abs,Other,not available
Holman Plate Straight Plank Pike to Jack,Core,Hold,Abs,Other,not available
Holman Plate In-and-Out Push-Up,Core,Hold,Abs,Other,not available
Holman Plate Burpee,Core,Hold,Abs,Other,not available
Holman Plate Elbow Plank Reach,Core,Hold,Abs,Other,not available
Holman Elbow Plank to Renegade Row,Core,Hold,Abs,Other,not available
Holman Straight Plank Weighted Hand Hill Climber,Core,Hold,Abs,Other,not available
Holman Weighted Left Side Diagonal Pike,Core,Hold,Abs,Other,not available
Holman Weighted Right Side Diagonal Pike,Core,Hold,Abs,Other,not available
Holman Weighted W-Boat to Overhead Press,Core,Hold,Abs,Other,not available
Holman Weighted Kneeling Lift,Core,Hold,Abs,Other,not available
Holman Hips-Up Weighted Pull-Over,Core,Hold,Abs,Other,not available
Holman Weighted Cross Punch,Core,Hold,Abs,Other,not available
Holman Straight-Leg Boat Hover Chest Press,Core,Hold,Abs,Other,not available
Holman Weighted Pike,Core,Hold,Abs,Other,not available
Holman Feet-Elevated Wax-On Wax-Off,Core,Hold,Abs,Other,not available
Holman Elbow Plank to Towel Pike,Core,Hold,Abs,Other,not available
Holman Seated Killer Abs Overhead Press,Core,Hold,Abs,Other,not available
Holman Straight Plank Alternating Weighted Open,Core,Hold,Abs,Other,not available
Holman Weighted Killer Abs with Overhead Press,Core,Hold,Abs,Other,not available
Holman Weighted Split-Leg Pike,Core,Hold,Abs,Other,not available
Holman Towel Reverse Plank Heel Pull-in,Core,Hold,Abs,Other,not available
Stick Twist,Core,Hold,Abs,Other,not available
Roc Everest,Core,Hold,Abs,Other,not available
Standing cable low-to-high twist,Core,Hold,Abs,Cable,"The standing cable low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout."
Single-arm high-cable side bend,Core,Hold,Abs,Cable,The single-arm high-cable side bend is an exercise targeting the obliques using a cable stack machine.
Kneeling cable oblique crunch,Core,Hold,Abs,Cable,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher."
Kneeling cable crunch,Core,Hold,Abs,Cable,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher."
Rope Crunch,Core,Hold,Abs,Cable,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher."
Standing cable crunch,Core,Hold,Abs,Cable,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher."
Bosu Ball Cable Crunch With Side Bends,Core,Hold,Abs,Cable,not available
Standing Cable Wood Chop,Core,Hold,Abs,Cable,The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques.
Cable reverse crunch,Core,Hold,Abs,Cable,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically."
Cable Russian Twists,Core,Hold,Abs,Cable,not available
Pallof press with rotation,Core,Hold,Abs,Cable,The Pallof press with rotation is a dynamic variation of the Pallof press that incorporates weighted rotation away from the torso using resistance from a cable pulley. It is intended to build abdominal strength and teach proper bracing. It can be performed for time or for reps in the core-focused portion of any workout.
Cable Seated Crunch,Core,Hold,Abs,Cable,not available
Cable Judo Flip,Core,Hold,Abs,Cable,not available
Exercise Ball Cable Crunch - Gethin Variation,Core,Hold,Abs,Cable,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps."
Standing cable high-to-low twist,Core,Hold,Abs,Cable,"The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout."
Bent-Over Reverse Cable Fly,Core,Hold,Abs,Cable,not available
Standing Cable Crunch - Gethin Variation,Core,Hold,Abs,Cable,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher."
AM Cable Crunch,Core,Hold,Abs,Cable,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher."
Tyler Holt Weighted Knee-To-Chest Crunch,Core,Hold,Abs,Cable,not available
Standing cable twist,Core,Hold,Abs,Cable,"The standing cable twist is a core exercise that targets the abdominals, particularly the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout."
30 Cable Rope Crunch,Core,Hold,Abs,Cable,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher."
30 Cable Rope Oblique Crunch,Core,Hold,Abs,Cable,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps like 8-12 reps per set or higher."
Cable lying twist on ball,Core,Hold,Abs,Cable,The cable lying twist on ball is an exercise targeting the core and obliques with the added challenge of stability to keep from losing position on the unstable surface.
30 Cable Pallof Press,Core,Hold,Abs,Cable,"The pallof press is an anti-rotation, isometric exercise that trains core stability. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements."
30 Cable Reverse Crunch On Ball,Core,Hold,Abs,Cable,"The cable reverse crunch on a BOSU is performed on top of a BOSU ball between two cable pulleys, which helps target the lower abdominals specifically and is more proprioceptively challenging than a cable reverse crunch on the floor."
30 Cable Reverse Crunch,Core,Hold,Abs,Cable,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically."
Tyler Holt Cable Torso Twist,Core,Hold,Abs,Cable,not available
